filename,abs_filepath,emotion
Ses04M_script02_2_M042,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M042.wav,Happiness Frustration Neutral
Ses04M_script02_2_M040,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M040.wav,Happiness Neutral
Ses04M_script02_2_M041,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M041.wav,Happiness Neutral
Ses04M_script02_2_F015,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F015.wav,Frustration Sadness Neutral
Ses04M_script02_2_F001,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F001.wav,Anger Frustration Other
Ses04M_script02_2_F029,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F029.wav,Anger Frustration
Ses04M_script02_2_M034,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M034.wav,Anger Frustration
Ses04M_script02_2_M020,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M020.wav,Excited Neutral
Ses04M_script02_2_M008,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M008.wav,Anger Frustration Neutral
Ses04M_script02_2_M009,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M009.wav,Anger Frustration Neutral
Ses04M_script02_2_M021,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M021.wav,Excited Neutral
Ses04M_script02_2_M035,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M035.wav,Frustration Sadness
Ses04M_script02_2_F028,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F028.wav,Anger Frustration
Ses04M_script02_2_F000,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F000.wav,Frustration Neutral
Ses04M_script02_2_F014,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F014.wav,Anger Frustration
Ses04M_script02_2_F002,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F002.wav,Anger Frustration Other
Ses04M_script02_2_F016,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F016.wav,Sadness Neutral
Ses04M_script02_2_M023,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M023.wav,Frustration Sadness Neutral
Ses04M_script02_2_M037,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M037.wav,Frustration Sadness
Ses04M_script02_2_M036,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M036.wav,Anger Frustration Sadness
Ses04M_script02_2_M022,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M022.wav,Excited Frustration Neutral
Ses04M_script02_2_F017,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F017.wav,Happiness Frustration Sadness
Ses04M_script02_2_F003,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F003.wav,Anger Frustration Other
Ses04M_script02_2_F007,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F007.wav,Anger Frustration
Ses04M_script02_2_F013,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F013.wav,Anger Frustration
Ses04M_script02_2_M026,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M026.wav,Frustration
Ses04M_script02_2_M032,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M032.wav,Anger Frustration
Ses04M_script02_2_M033,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M033.wav,Anger Frustration
Ses04M_script02_2_M027,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M027.wav,Frustration
Ses04M_script02_2_F012,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F012.wav,Frustration
Ses04M_script02_2_F006,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F006.wav,Anger
Ses04M_script02_2_F010,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F010.wav,Anger Frustration
Ses04M_script02_2_F004,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F004.wav,Anger Frustration Other
Ses04M_script02_2_M019,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M019.wav,Frustration Neutral
Ses04M_script02_2_M031,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M031.wav,Anger Frustration
Ses04M_script02_2_M025,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M025.wav,Frustration
Ses04M_script02_2_M024,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M024.wav,Frustration
Ses04M_script02_2_M030,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M030.wav,Anger Frustration
Ses04M_script02_2_M018,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M018.wav,Frustration
